qid,name,personal_interest,completed,ignore
Q19658430,Freddi Fish 2: The Case of the Haunted Schoolhouse,0,0,1
Q19658431,Freddi Fish 3: The Case of the Stolen Conch Shell,0,0,1
Q19752955,Freddi Fish 4: The Case of the Hogfish Rustlers of Briny Gulch,0,0,1
Q19865961,Freddi Fish 5: The Case of the Creature of Coral Cove,0,0,1
Q62725218,Freddi Fish and Luther's Maze Madness,0,0,1
Q62725237,Freddi Fish and Luther's Water Worries,0,0,1
Q18150456,Freddi Fish and the Case of the Missing Kelp Seeds,0,0,1
Q2388343,Freedom Force,0,0,0
Q2440,Freedom Force vs. the 3rd Reich,0,0,0
Q4039041,Frozen Synapse,0,0,0
Q4308783,FTL: Faster Than Light,0,0,0
Q56648216,Full Throttle Remastered,0,0,0
Q400488,Game of Thrones ,0,0,0
Q18150581,Game of Thrones - A Telltale Games Series,0,0,0
Q837923,Garry's Mod,0,0,1
Q3762768,Giana Sisters: Twisted Dreams,0,0,0
Q2659257,Global Agenda,0,0,0
Q108671491,Gloomhaven,0,0,1
Q3115716,Gratuitous Space Battles,0,0,1
Q56278431,Graveyard Keeper,0,0,0
Q2796462,Greed Corp,0,0,0
Q18781688,Grey Goo,0,0,0
Q5609186,Grim Dawn,1,0,0
Q15725934,Guacamelee! Gold Edition,0,0,1
Q15725934,Guacamelee! Super Turbo Championship Edition,0,0,1
Q3467448,Guardians of Middle-earth,0,0,1
Q15729139,Gunpoint,0,0,0
Q279744,Half-Life,0,1,0
Q193581,Half-Life 2,0,1,0
Q1325680,Half-Life 2: Deathmatch,0,0,1
Q55354219,Half-Life Deathmatch: Source,0,0,1
Q4040378,Hammerfight,0,0,0
Q98646477,Hardspace: Shipbreaker,1,0,0
Q31634732,Hero Siege,0,0,0
Q61479296,Heroes of Hammerwatch,0,0,0
Q122387140,hexceed,0,0,1
Q112566540,High On Life,0,0,1
Q116680138,HITMAN World of Assassination,1,0,0
Q5874537,HOARD,0,0,0
Q123669866,Holy Potatoes! A Weapon Shop?!,0,0,0
Q20155528,Horizon Zero Dawn™ Complete Edition,1,0,0
Q16267674,Hotline Miami 2: Wrong Number,0,0,1
Q21427534,Human Resource Machine,0,0,0
Q106336034,Husk,0,0,0
Q16457556,Hyper Light Drifter,0,0,0
Q3132373,Incredipede,0,0,0
Q4041418,Insanely Twisted Shadow Planet,0,0,0
Q3161507,Jamestown,0,0,0
